total_iterations, iterations_per_second, memory_usage
525076, 525075, 264720384
948200, 420600.3976143141, 445214720
1481498, 528541.1298315164, 666742784
2002947, 516797.8196233896, 883257344
2121938, 86100.57887120117, 936022016
2626998, 505060, 1140842496
2882134, 116447.28434504793, 1247928320
3259200, 127992.53224711472, 1404866560
3438810, 64192.28020014296, 1482969088
3513034, 27654.247391952307, 1509359616
3524852, 4488.41625522218, 1512620032
3536661, 4538.431975403536, 1518542848
3548474, 3688.104901654699, 1522053120
3560279, 2377.643504531722, 1527029760
3572093, 4324.304538799414, 1532928000
3583900, 4499.618902439024, 1537896448
3595710, 4313.367421475529, 1542168576
3607518, 3523.724261414503, 1544015872
